contest_number,anchor_text,anchor_href
Weekly-Contest 428,Count Beautiful Splits in an Array,https://leetcode.com/problems/count-beautiful-splits-in-an-array/
Weekly-Contest 427,Maximum Subarray Sum With Length Divisible by K,https://leetcode.com/problems/maximum-subarray-sum-with-length-divisible-by-k/
Weekly-Contest 426,Maximize the Number of Target Nodes After Connecting Trees I,https://leetcode.com/problems/maximize-the-number-of-target-nodes-after-connecting-trees-i/
Weekly-Contest 425,Minimum Array Sum,https://leetcode.com/problems/minimum-array-sum/
Weekly-Contest 424,Zero Array Transformation II,https://leetcode.com/problems/zero-array-transformation-ii/
Weekly-Contest 423,Sum of Good Subsequences,https://leetcode.com/problems/sum-of-good-subsequences/
Weekly-Contest 422,Find Minimum Time to Reach Last Room II,https://leetcode.com/problems/find-minimum-time-to-reach-last-room-ii/
Weekly-Contest 421,Find the Number of Subsequences With Equal GCD,https://leetcode.com/problems/find-the-number-of-subsequences-with-equal-gcd/
Weekly-Contest 420,Minimum Division Operations to Make Array Non Decreasing,https://leetcode.com/problems/minimum-division-operations-to-make-array-non-decreasing/
Weekly-Contest 419,Count The Number of Winning Sequences,https://leetcode.com/problems/count-the-number-of-winning-sequences/
Weekly-Contest 418,Construct 2D Grid Matching Graph Layout,https://leetcode.com/problems/construct-2d-grid-matching-graph-layout/
Weekly-Contest 417,Count of Substrings Containing Every Vowel and K Consonants II,https://leetcode.com/problems/count-of-substrings-containing-every-vowel-and-k-consonants-ii/
Weekly-Contest 416,Count Substrings That Can Be Rearranged to Contain a String I,https://leetcode.com/problems/count-substrings-that-can-be-rearranged-to-contain-a-string-i/
Weekly-Contest 415,Minimum Number of Valid Strings to Form Target I,https://leetcode.com/problems/minimum-number-of-valid-strings-to-form-target-i/
Weekly-Contest 414,Reach End of Array With Max Score,https://leetcode.com/problems/reach-end-of-array-with-max-score/
Weekly-Contest 413,Select Cells in Grid With Maximum Score,https://leetcode.com/problems/select-cells-in-grid-with-maximum-score/
Weekly-Contest 412,Final Array State After K Multiplication Operations II,https://leetcode.com/problems/final-array-state-after-k-multiplication-operations-ii/
